ma_sach,ten_sach,ten_tac_gia,mo_ta,ngay_xuat_ban,so_luong_ton_kho,ngay_tao,vi_tri,the_loai
VH0000005,Amlodipine besylate and benazepril hydrochloride,Rochette Fadden,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",5/5/2021,28,8/6/2021,20,4
XH0000001,Metformin Hydrochloride,Lorita McGauhy,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",5/27/2021,95,1/8/2021,21,5
XH0000002,Alcoholism,Stephenie Gehrts,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",5/24/2021,85,10/23/2021,22,5
XH0000003,Ultra-TechneKow,Drusilla Robarts,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,10/13/2021,38,1/19/2021,23,5
XH0000004,Benazepril Hydrochloride,Celia Hansel,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",10/29/2021,39,5/4/2021,24,5
XH0000005,Benazepril Hydrochloride,Koral Mathie,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",9/30/2021,68,3/12/2021,25,5
LS0000001,Crest 3D White,Stepha Tarren,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",10/21/2021,88,1/12/2021,26,6
LS0000002,Rabbit Hair,Kristyn Niese,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",12/16/2021,9,10/22/2021,27,6
LS0000003,Cetacaine Anesthetic,Lorie Tape,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",10/13/2021,74,7/13/2021,28,6
LS0000004,Earwax Removal Kit,Chrissy Stark,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",5/12/2021,40,8/28/2021,29,6
LS0000005,Premium Gold Mineral BB,Kendricks Kibbel,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",10/16/2021,51,11/17/2021,30,6
GT0000001,BRYONIA ALBA,Kalie McQuilkin,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",1/10/2021,3,2/8/2021,31,7
GT0000002,Alcohol Prep pad,Pyotr Buckbee,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",11/4/2021,91,8/14/2021,32,7
GT0000003,Diovan HCT,Milton Tomlins,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",7/22/2021,76,5/31/2021,33,7
GT0000004,Morphine Sulfate,Charmian Heggadon,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1/21/2021,100,3/19/2021,34,7
GT0000005,Cleanize,Arte McHale,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",6/26/2021,60,12/24/2021,35,7
GT0000006,Strattera,Georgianna Gawne,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",8/19/2021,32,6/2/2021,36,7
GT0000007,COLGATE 2IN1,Sileas Perryn,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2/12/2021,25,5/3/2021,37,7
GT0000008,Prometrium,Emilia Claibourn,Phasellus in felis. Donec semper sapien a libero. Nam dui.,4/18/2021,44,7/2/2021,38,7
GT0000009,Dr. Scholls,Brit Benthall,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,3/18/2021,18,3/10/2021,39,7
GT0000010,Cyzone,Valry Jeste,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",7/14/2021,97,11/7/2021,40,7
TT0000001,"Pollens - Grasses, Bahia Grass Paspalum notatum",Gabbi Webben,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,10/22/2021,37,5/25/2021,41,8
TT0000002,Azithromycin,Amie Micah,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",7/14/2021,41,4/30/2021,42,8
TT0000003,Bio Impatiens,Gertrude Fyldes,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2/19/2021,73,8/21/2021,43,8
TT0000004,Estradiol / Norethindrone Acetate,Natalya Bucknell,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",5/27/2021,77,2/4/2021,44,8
TT0000005,Sancuso,Gracia Witcher,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",11/8/2021,78,1/26/2021,45,8
TT0000006,THE YEON STYLE Y LONG WEAR PERFECT FIT BB,Jamesy MacConneely,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",7/12/2021,69,8/19/2021,46,8
TT0000007,ATORVASTATIN CALCIUM,Tyson Nind,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",4/20/2021,29,4/17/2021,47,8
TT0000008,Micro-Guard,Jereme Tafani,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",7/10/2021,5,6/28/2021,48,8
TT0000009,Childrens Mucinex,Adrienne Richten,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1/3/2021,92,12/22/2021,49,8
TT0000010,Ceftriaxone Sodium,Veriee Mocher,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",1/7/2021,84,8/2/2021,50,8
